location,station_ID,year,month,filename
East Coast Parkway,107,2020,8,East Coast Parkway_107_202008.csv
Seletar,25,2014,12,Seletar_25_201412.csv
Khatib,122,2013,6,Khatib_122_201306.csv
Kampong Bahru,31,2016,9,Kampong Bahru_31_201609.csv
Boon Lay (West),63,2014,5,Boon Lay (West)_63_201405.csv
Ang Mo Kio,109,2021,8,Ang Mo Kio_109_202108.csv
Pasir Panjang,116,2013,2,Pasir Panjang_116_201302.csv
Admiralty West,105,2018,6,Admiralty West_105_201806.csv
Upper Thomson,46,2019,9,Upper Thomson_46_201909.csv
Semakau Island,102,2020,3,Semakau Island_102_202003.csv
Tuas,89,2021,8,Tuas_89_202108.csv
Pasir Ris (West),29,2019,5,Pasir Ris (West)_29_201905.csv
Kranji Reservoir,66,2014,5,Kranji Reservoir_66_201405.csv
Chai Chee,61,2014,11,Chai Chee_61_201411.csv
Upper Thomson,46,2013,2,Upper Thomson_46_201302.csv
Newton,111,2013,12,Newton_111_201312.csv
Newton,111,2024,6,Newton_111_202406.csv
Nicoll Highway,119,2023,12,Nicoll Highway_119_202312.csv
Serangoon North,110,2012,11,Serangoon North_110_201211.csv
Changi Climate Station,24,2016,8,Changi Climate Station_24_201608.csv
Buona Vista,92,2021,5,Buona Vista_92_202105.csv
Tuas,89,2016,3,Tuas_89_201603.csv
Dhoby Ghaut,118,2023,8,Dhoby Ghaut_118_202308.csv
Admiralty,104,2013,7,Admiralty_104_201307.csv
Ang Mo Kio,109,2018,7,Ang Mo Kio_109_201807.csv
Pulau Ubin,106,2014,8,Pulau Ubin_106_201408.csv
Marine Parade,113,2012,6,Marine Parade_113_201206.csv
Kranji Reservoir,66,2018,10,Kranji Reservoir_66_201810.csv
Jurong Island,117,2012,2,Jurong Island_117_201202.csv
Marina Barrage,108,2019,10,Marina Barrage_108_201910.csv
Serangoon,36,2021,10,Serangoon_36_202110.csv
Newton,111,2018,10,Newton_111_201810.csv
Kranji Reservoir,66,2021,5,Kranji Reservoir_66_202105.csv
Serangoon,36,2015,9,Serangoon_36_201509.csv
Chai Chee,61,2020,4,Chai Chee_61_202004.csv
Ulu Pandan,35,2018,4,Ulu Pandan_35_201804.csv
Upper Peirce Reservoir,69,2017,12,Upper Peirce Reservoir_69_201712.csv
Queenstown,77,2013,5,Queenstown_77_201305.csv
Pasir Ris (West),29,2013,3,Pasir Ris (West)_29_201303.csv
Punggol,81,2019,2,Punggol_81_201902.csv
Lower Peirce Reservoir,08,2019,5,Lower Peirce Reservoir_08_201905.csv
Simei,84,2015,10,Simei_84_201510.csv
Macritchie Reservoir,07,2017,12,Macritchie Reservoir_07_201712.csv
Botanic Garden,120,2023,10,Botanic Garden_120_202310.csv
Kent Ridge,71,2018,12,Kent Ridge_71_201812.csv
Khatib,122,2015,5,Khatib_122_201505.csv
Queenstown,77,2017,8,Queenstown_77_201708.csv
Admiralty West,105,2013,11,Admiralty West_105_201311.csv
Tanjong Pagar,72,2015,9,Tanjong Pagar_72_201509.csv
Jurong (West),44,2019,9,Jurong (West)_44_201909.csv
Mandai,40,2023,4,Mandai_40_202304.csv
Choa Chu Kang (South),121,2015,2,Choa Chu Kang (South)_121_201502.csv
Upper Peirce Reservoir,69,2016,3,Upper Peirce Reservoir_69_201603.csv
Macritchie Reservoir,07,2021,4,Macritchie Reservoir_07_202104.csv
Whampoa,123,2013,12,Whampoa_123_201312.csv
East Coast Parkway,107,2019,7,East Coast Parkway_107_201907.csv
